,timestamp,desired_vel,quat_1,quat_2,quat_3,quat_4,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,velcmd_x,velcmd_y,velcmd_z,ct_cmd,br_cmd_x,br_cmd_y,br_cmd_z,is_collide
0,1752409050.354,5.0,1.0,6.8876385e-17,-3.9144172e-17,-1.1155482e-17,-5.6303934e-17,-1.3388921e-16,2.1098473,-2.192029e-16,-3.836314e-16,1.2796197,1.0,0.14094119,-0.17135349,9.508695129420968,-3.2919232700990137e-15,1.7705356832775464e-15,4.4621928890893284e-17,False
1,1752409050.404,5.0,1.0,-5.3997546e-17,6.053359e-18,-1.0959956e-17,-7.0184336e-17,-1.5778023e-16,2.1861355,-2.3462199e-16,-3.8891565e-16,1.2627743,1.0,0.21393126,-0.11192171,9.457814287342556,-9.878081202101018e-16,9.941880226853721e-16,4.383982410513508e-17,False
2,1752409050.444,5.0,1.0,-9.699741e-17,1.1377583e-17,-8.570072e-18,-7.7147046e-17,-1.6885413e-16,2.2238765,-2.2905423e-16,-3.4528292e-16,1.2531593,1.0,0.21462792,-0.10664161,9.4331958526356,-5.3140281051349513e-17,9.098125532568914e-16,3.428028748031033e-17,False
3,1752409050.484,5.0,1.0,-1.3213042e-16,-6.8838234e-19,-6.498086e-18,-8.617312e-17,-1.8098398e-16,2.2737274,-2.2384376e-16,-2.5676957e-16,1.239159,1.0,0.21353057,-0.11029719,9.401151002129744,8.606684249038054e-16,1.1863866803515844e-15,2.599234350578298e-17,False
4,1752409050.524,5.0,1.0,-1.335515e-16,-1.061871e-17,-6.332682e-18,-9.5212386e-17,-1.892212e-16,2.3229918,-2.2938245e-16,-1.5501067e-16,1.2238488,1.0,0.13642131,-0.041432366,9.370019854170657,1.165016148503024e-15,1.4548574929504226e-15,2.5330728040526686e-17,False
5,1752409050.574,5.0,1.0,-1.3652875e-16,9.3245514e-18,-5.706837e-18,-1.06868744e-16,-1.938523e-16,2.3836694,-2.3393655e-16,-2.9685944e-17,1.2029377,1.0,0.024517797,0.09498641,9.33241834544972,1.5965502328240351e-15,1.1380888789228017e-15,2.2827347247597648e-17,False
6,1752409050.614,5.0,1.0,-1.302819e-16,5.713023e-17,-3.1496662e-18,-1.1586737e-16,-1.9300358e-16,2.4314315,-2.0997108e-16,7.1195574e-17,1.1849617,1.0,-0.033028178,0.022038316,9.30280774519954,1.7978913028636064e-15,1.5727197992214148e-16,1.2598664574985258e-17,False
7,1752409050.654,5.0,1.0,-1.2341609e-16,1.03650555e-16,-6.4897484e-19,-1.2316137e-16,-1.8826119e-16,2.4784498,-1.4888057e-16,1.6497654e-16,1.1657511,1.0,-0.08482636,-0.047744654,9.274522815418742,1.987028839667721e-15,-9.274550430373628e-16,2.59589937831404e-18,False
8,1752409050.684,5.0,1.0,-1.2147228e-16,1.167177e-16,4.9406e-19,-1.2670821e-16,-1.8228093e-16,2.5131962,-8.642686e-17,2.3353109e-16,1.1505622,1.0,-0.07243436,0.032029327,9.254214973661508,2.2016451289305557e-15,-1.3695810639505516e-15,-1.9762400157333578e-18,False
9,1752409050.724,5.0,1.0,-1.00803624e-16,1.1169086e-16,9.972642e-19,-1.2842933e-16,-1.712082e-16,2.558797,-2.946038e-19,3.1750464e-16,1.1292737,1.0,-0.08354555,0.044979196,9.228574059510155,2.1206096503173974e-15,-1.537035147470617e-15,-3.989057146618702e-18,False
10,1752409050.764,5.0,1.0,-5.8064664e-17,8.615683e-17,-5.6183524e-19,-1.2689443e-16,-1.5720605e-16,2.6035237,7.3796865e-17,3.7724148e-16,1.1068959,1.0,-0.12725061,-0.0010217562,9.204397725054772,1.5368683512143937e-15,-1.2743494888347104e-15,2.2473409868619445e-18,False
11,1752409050.854,5.0,1.0,4.7281624e-17,-4.346391e-17,-1.960641e-18,-1.1656458e-16,-1.2175076e-16,2.7007542,1.180189e-16,3.8181522e-16,1.0530114,1.0,-0.1041203,0.073210865,9.15474847446262,-3.593882340274105e-16,1.119166243138068e-15,7.842563807671457e-18,False
12,1752409050.924,5.0,1.0,5.691373e-17,-8.135908e-17,-9.846237e-18,-1.1111268e-16,-9.492161e-17,2.7829506,9.855124e-18,2.8745585e-16,1.0013266,1.0,-0.07758353,0.0822543,9.116925551713468,-7.129563560159688e-16,2.2041283370470294e-15,3.9384946639076085e-17,False
13,1752409050.964,5.0,1.0,4.26816e-17,-7.884566e-17,-1.2784239e-17,-1.1147932e-16,-8.6726956e-17,2.812688,-3.4054778e-17,2.601619e-16,0.981102,1.0,-0.05011081,0.019921621,9.104490384675014,-4.726651053659703e-16,2.3013479460707463e-15,5.113695857803462e-17,False
14,1752409051.004,5.0,1.0,2.1597539e-17,-6.2152664e-17,-1.3223434e-17,-1.1395488e-16,-7.684478e-17,2.851383,-8.775383e-17,2.3654766e-16,0.95352966,1.0,-0.047418013,-0.0019221312,9.089237090294066,-7.392389783227613e-17,2.1595613018083616e-15,5.2893735902853316e-17,False
15,1752409051.044,5.0,1.0,8.342401e-18,-1.055593e-17,-1.3441821e-17,-1.1814367e-16,-6.7599364e-17,2.8889616,-1.1525939e-16,2.2750114e-16,0.92529386,1.0,-0.09435814,0.05401447,9.07567585536701,2.1274533354721853e-16,1.2429938012850239e-15,5.3767283476492506e-17,False
16,1752409051.084,5.0,1.0,3.7964076e-17,4.493209e-17,-1.3631699e-17,-1.2263834e-16,-5.8708985e-17,2.9253986,-1.02750443e-16,2.1343283e-16,0.8964705,1.0,-0.08240729,0.06968604,9.0637935352921,-3.7671149610603805e-16,1.1797775975452537e-16,5.4526796514656615e-17,False
