,timestamp,desired_vel,quat_1,quat_2,quat_3,quat_4,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,velcmd_x,velcmd_y,velcmd_z,ct_cmd,br_cmd_x,br_cmd_y,br_cmd_z,is_collide
0,1753298714.635,5.0,1.0,-5.3997546e-17,-6.360653e-18,-4.2410625e-18,-2.390135e-17,-8.389334e-17,2.1099367,-1.1444049e-16,-7.6110814e-17,1.2795838,1.0,-0.26832592,0.100802734,9.507982200508737,3.9862957428243e-16,6.1399166875836e-16,1.6964250848172877e-17,False
1,1753298714.715,5.0,1.0,-1.6633917e-17,1.8737216e-17,-1.593794e-18,-3.336157e-17,-8.713762e-17,2.2114182,-1.15511e-16,-1.5700326e-17,1.2564574,1.0,-0.54561937,0.030738896,9.440408185553174,-1.7872865588280518e-16,1.6902540814926237e-16,6.375176011559185e-18,False
2,1753298714.755,5.0,1.0,-6.6937196e-18,2.8955014e-17,-1.5763123e-18,-3.7600785e-17,-8.757563e-17,2.2614083,-9.508855e-17,-7.37532e-18,1.2428259,1.0,-0.56775534,0.069873326,9.407959025387477,-3.5507768941169196e-16,-7.60479407843103e-17,6.30524917376792e-18,False
3,1753298714.825,5.0,1.0,9.885611e-18,-4.2134506e-17,-2.060421e-18,-4.4603802e-17,-8.809483e-17,2.35962,-9.899262e-17,-9.764905e-18,1.2115762,1.0,-0.42656058,0.16276908,9.346110766625875,-7.003478883997921e-16,1.399067943866913e-15,8.241684681835162e-18,False
4,1753298714.865,5.0,1.0,1.7187177e-17,-8.171374e-17,-2.4103243e-18,-4.939715e-17,-8.867488e-17,2.407736,-1.456476e-16,-2.0206929e-17,1.1940335,1.0,-0.35823062,0.17680056,9.316860504397386,-8.84693148600546e-16,2.368350930616435e-15,9.641297235165954e-18,False
5,1753298714.905,5.0,1.0,1.0937547e-17,-1.0060625e-16,-4.4002807e-18,-5.6583535e-17,-8.9721065e-17,2.4551272,-2.1605738e-16,-3.123037e-17,1.1753206,1.0,-0.3982336,0.19584633,9.288525768668102,-8.025857258373354e-16,3.0145336253632525e-15,1.7601122970826408e-17,False
6,1753298714.955,5.0,1.0,2.8976821e-18,-7.678492e-17,-6.6016313e-18,-6.666237e-17,-9.1093285e-17,2.501746,-2.848845e-16,-3.6380558e-17,1.1554147,1.0,-0.21444105,0.1395594,9.261501454049327,-6.675827525141282e-16,2.8183903276071296e-15,2.640652554500949e-17,False
7,1753298714.985,5.0,1.0,-3.1252778e-18,-3.9252112e-17,-8.251636e-18,-7.5747615e-17,-9.2192145e-17,2.5361753,-3.172828e-16,-3.6317772e-17,1.1397797,1.0,-0.098869875,0.09594229,9.235514066284583,-5.217751239817279e-16,2.017757943799508e-15,3.503334573344867e-17,False
8,1753298715.025,5.0,1.0,-7.985279e-18,1.9263691e-17,-7.551291e-18,-9.206071e-17,-9.3888434e-17,2.5924854,-3.2627124e-16,-3.0862085e-17,1.1123412,1.0,-0.059787877,0.10379422,9.210952418122723,-4.504684798932208e-16,1.1771240807833489e-15,3.020516653333467e-17,False
9,1753298715.065,5.0,1.0,-1.042777e-17,5.394164e-17,-4.255855e-18,-1.01592695e-16,-9.4741165e-17,2.6255984,-3.0600015e-16,-2.5762783e-17,1.0950953,1.0,-0.03960351,0.10580532,9.193454587046165,-3.9077770498912805e-16,4.72231504681839e-16,1.7023419710919904e-17,False
